"","isInterpolated","useMicroData","CountryCode","CountryName","RegionCode","CoverageType","RequestYear","DataYear","DataType","PPP","PovertyLine","Mean","HeadCount","PovGap","PovGapSqr","Watts","Gini","Median","pr.mld","Polarization","ReqYearPopulation","SvyInfoID","Decile1","Decile2","Decile3","Decile4","Decile5","Decile6","Decile7","Decile8","Decile9","Decile10"
"74",1,1,"BDI","Burundi","XX","N",2013,NA,"X",487.3273,1.762093,53.84455,0.6842581,0.2739579,0.1390775,0.3979971,-1,-1,-1,-1,9.600186,"BDI_N2006X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"75",0,1,"BDI","Burundi","XX","N",2015,2013.5,"X",487.3273,1.762093,50.93623,0.712905,0.2990501,0.1568428,0.4420844,0.3862482,37.8252,0.2467371,-1,10.19927,"BDI_N2013X",0.02763,0.04097,0.05043,0.05964,0.0695,0.08006,0.09381,0.1146,0.1531,0.3102
"76",0,1,"BEN","Benin","XX","N",1981,2003,"X",224.9172,0.93368,69.14715,0.1500512,0.03333968,0.011451,0.04177102,0.385782,51.70868,0.2463929,-1,3.820128,"BEN_N2003X",0.02858,0.04115,0.05027,0.05884,0.06928,0.08065,0.09471,0.1145,0.1509,0.3112
"77",0,1,"BEN","Benin","XX","N",1984,2003,"X",224.9172,0.93368,67.06985,0.162503,0.03705291,0.01285622,0.04655721,0.385782,50.15527,0.2463929,-1,4.156819,"BEN_N2003X",0.02858,0.04115,0.05027,0.05884,0.06928,0.08065,0.09471,0.1145,0.1509,0.3112
"78",0,1,"BEN","Benin","XX","N",1987,2003,"X",224.9172,0.93368,66.52447,0.1665359,0.03809288,0.01325655,0.04790394,0.385782,49.74743,0.2463929,-1,4.535263,"BEN_N2003X",0.02858,0.04115,0.05027,0.05884,0.06928,0.08065,0.09471,0.1145,0.1509,0.3112
"79",0,1,"BEN","Benin","XX","N",1990,2003,"X",224.9172,0.93368,66.34129,0.1678101,0.03844763,0.01339411,0.04836422,0.385782,49.61044,0.2463929,-1,4.978496,"BEN_N2003X",0.02858,0.04115,0.05027,0.05884,0.06928,0.08065,0.09471,0.1145,0.1509,0.3112
"80",0,1,"BEN","Benin","XX","N",1993,2003,"X",224.9172,0.93368,67.93171,0.1582542,0.03547026,0.01225081,0.0445116,0.385782,50.79977,0.2463929,-1,5.521763,"BEN_N2003X",0.02858,0.04115,0.05027,0.05884,0.06928,0.08065,0.09471,0.1145,0.1509,0.3112
"81",0,1,"BEN","Benin","XX","N",1996,2003,"X",224.9172,0.93368,69.46929,0.1488781,0.03279875,0.0112491,0.04107639,0.385782,51.94958,0.2463929,-1,6.094259,"BEN_N2003X",0.02858,0.04115,0.05027,0.05884,0.06928,0.08065,0.09471,0.1145,0.1509,0.3112
"82",0,1,"BEN","Benin","XX","N",1999,2003,"X",224.9172,0.93368,73.56304,0.1232729,0.02667782,0.009010713,0.03325837,0.385782,55.01091,0.2463929,-1,6.664098,"BEN_N2003X",0.02858,0.04115,0.05027,0.05884,0.06928,0.08065,0.09471,0.1145,0.1509,0.3112
"83",0,1,"BEN","Benin","XX","N",2002,2003,"X",224.9172,0.93368,78.40688,0.1004293,0.0210957,0.006991166,0.02615868,0.385782,58.63317,0.2463929,-1,7.295394,"BEN_N2003X",0.02858,0.04115,0.05027,0.05884,0.06928,0.08065,0.09471,0.1145,0.1509,0.3112
